id,name,path,state,created_at,updated_at
273081041,lint,.github/workflows/lint.yml,active,2026-05-08T08:16:41.000+02:00,2026-05-08T08:16:41.000+02:00
273081042,tests,.github/workflows/tests.yml,active,2026-05-08T08:16:41.000+02:00,2026-05-08T08:16:41.000+02:00
273081043,wheel,.github/workflows/wheel.yml,active,2026-05-08T08:16:42.000+02:00,2026-05-08T08:16:42.000+02:00
285544613,Literature Strategy Idea Discovery 9h,.github/workflows/literature-strategy-idea-discovery-9h.yml,active,2026-05-29T14:50:22.000+02:00,2026-05-29T14:51:35.000+02:00
285545152,docs,.github/workflows/docs.yml,active,2026-05-29T14:51:35.000+02:00,2026-05-29T14:51:35.000+02:00
285545153,property-thorough,.github/workflows/property-thorough.yml,active,2026-05-29T14:51:36.000+02:00,2026-05-29T14:51:36.000+02:00
285545154,security,.github/workflows/security.yml,active,2026-05-29T14:51:36.000+02:00,2026-05-29T14:51:36.000+02:00
285545155,typecheck,.github/workflows/typecheck.yml,active,2026-05-29T14:51:36.000+02:00,2026-05-29T14:51:36.000+02:00
286086870,BTC 5m All Features 5 Methods Train Only 1h 180 Jobs,.github/workflows/btc-5m-all-features-5methods-trainonly-1h-180jobs.yml,active,2026-05-30T18:28:04.000+02:00,2026-05-31T14:56:01.000+02:00
286130260,CodeQL,dynamic/github-code-scanning/codeql,active,2026-05-30T20:57:33.000+02:00,2026-05-30T20:57:33.000+02:00
286130268,Dependency Graph,dynamic/dependabot/update-graph,active,2026-05-30T20:57:36.000+02:00,2026-05-30T20:57:36.000+02:00
286139756,BTC 5m All Features 5 Methods Train Only 9h Max500 Real180,.github/workflows/btc-5m-all-features-5methods-trainonly-9h-max500-real180.yml,active,2026-05-30T21:35:34.000+02:00,2026-05-31T14:56:01.000+02:00
286298143,BTC 5m PF105 Statistical Robustness,.github/workflows/btc-5m-pf105-statistical-robustness.yml,active,2026-05-31T09:50:25.000+02:00,2026-05-31T14:56:01.000+02:00
286379387,BTC 5m Train Only 9h Wave,.github/workflows/btc-5m-all-features-5methods-trainonly-9h-wave.yml,active,2026-05-31T14:56:01.000+02:00,2026-05-31T14:56:01.000+02:00
286418958,SP500 Weekly Hedge DEHB 1 Wave 80 Jobs 1h,.github/workflows/sp500-weekly-hedge-dehb-1wave-80jobs-1h.yml,active,2026-05-31T17:04:54.000+02:00,2026-05-31T17:04:54.000+02:00
286418959,SP500 Weekly Hedge DEHB 6 Waves 80 Jobs 1h,.github/workflows/sp500-weekly-hedge-dehb-6waves-80jobs-1h.yml,active,2026-05-31T17:04:54.000+02:00,2026-05-31T17:04:54.000+02:00
286485726,SP500 Weekly Hedge DEHB Policy1995 Downside 1 Wave 80 Jobs 1h,.github/workflows/sp500-weekly-hedge-dehb-policy1995-downside-1wave-80jobs-1h.yml,active,2026-05-31T20:34:06.000+02:00,2026-05-31T20:34:06.000+02:00
286485728,SP500 Weekly Hedge DEHB Policy1995 Downside 6 Waves 80 Jobs 1h,.github/workflows/sp500-weekly-hedge-dehb-policy1995-downside-6waves-80jobs-1h.yml,active,2026-05-31T20:34:06.000+02:00,2026-05-31T20:34:06.000+02:00
286496341,SP500 Weekly Hedge DEHB Policy1995 Downside 6 Waves 80 Jobs 9h,.github/workflows/sp500-weekly-hedge-dehb-policy1995-downside-6waves-80jobs-9h.yml,active,2026-05-31T21:11:37.000+02:00,2026-05-31T21:11:37.000+02:00
286496342,SP500 Weekly Hedge Policy1995 Autostart 9h,.github/workflows/sp500-weekly-hedge-policy1995-autostart-9h.yml,active,2026-05-31T21:11:37.000+02:00,2026-05-31T21:11:37.000+02:00
286749547,SP500 Weekly Hedge DEHB No Crypto No Stocks 6 Waves 80 Jobs 3h,.github/workflows/sp500-weekly-hedge-dehb-no-crypto-no-stocks-6waves-80jobs-3h.yml,active,2026-06-01T10:26:06.000+02:00,2026-06-01T10:26:06.000+02:00
286784126,SP500 Weekly Hedge DEHB No Crypto No Stocks 2 Waves 500 Jobs 180 Parallel 1h,.github/workflows/sp500-weekly-hedge-dehb-no-crypto-no-stocks-2waves-500jobs-180parallel-1h.yml,active,2026-06-01T11:28:33.000+02:00,2026-06-01T11:28:33.000+02:00
286851214,GitHub Parallel Smoke 500,.github/workflows/github-parallel-smoke-500.yml,active,2026-06-01T13:30:44.000+02:00,2026-06-01T13:30:44.000+02:00
287002691,Literature PDF Text Extract 29855,.github/workflows/literature-pdf-text-extract-29855.yml,active,2026-06-01T17:27:53.000+02:00,2026-06-01T17:27:53.000+02:00
287174176,Literature Strategy Backtest 9419 9h,.github/workflows/literature-strategy-backtest-9419-9h.yml,active,2026-06-01T22:18:18.000+02:00,2026-06-01T22:18:18.000+02:00
287567028,Weekly SPY DEHB Real 500 Parallel 1h Momentum Trend Merge Now,.github/workflows/weekly-spy-dehb-real-500-parallel-1h-momentum-trend-merge-now.yml,active,2026-06-02T10:02:24.000+02:00,2026-06-02T10:02:24.000+02:00
287567029,Weekly SPY DEHB Real 500 Parallel 1h Momentum Trend Stop,.github/workflows/weekly-spy-dehb-real-500-parallel-1h-momentum-trend-stop.yml,active,2026-06-02T10:02:24.000+02:00,2026-06-02T10:02:24.000+02:00
